,date,values-FeedIn-2055689,values-Consumption-2055689,values-Purchased-2055689,values-SelfConsumption-2055689,values-Production-2055689
0,2020-12-31,0.0,0.0,0.0,0.0,0.0
1,2021-01-01,0.0,0.0,0.0,0.0,0.0
2,2021-01-02,0.0,0.0,0.0,0.0,0.0
3,2021-01-03,0.0,0.0,0.0,0.0,0.0
4,2021-01-04,0.0,0.0,0.0,0.0,0.0
5,2021-01-05,0.0,0.0,0.0,0.0,0.0
6,2021-01-06,0.0,0.0,0.0,0.0,0.0
7,2021-01-07,0.0,0.0,0.0,0.0,0.0
8,2021-01-08,0.0,0.0,0.0,0.0,0.0
9,2021-01-09,0.0,0.0,0.0,0.0,0.0
10,2021-01-10,0.0,0.0,0.0,0.0,0.0
11,2021-01-11,0.0,0.0,0.0,0.0,0.0
12,2021-01-12,0.0,0.0,0.0,0.0,0.0
13,2021-01-13,0.0,0.0,0.0,0.0,0.0
14,2021-01-14,0.0,0.0,0.0,0.0,0.0
15,2021-01-15,0.0,0.0,0.0,0.0,0.0
16,2021-01-16,0.0,0.0,0.0,0.0,0.0
17,2021-01-17,0.0,0.0,0.0,0.0,0.0
18,2021-01-18,0.0,0.0,0.0,0.0,0.0
19,2021-01-19,0.0,0.0,0.0,0.0,0.0
20,2021-01-20,0.0,0.0,0.0,0.0,0.0
21,2021-01-21,0.0,0.0,0.0,0.0,0.0
22,2021-01-22,0.0,0.0,0.0,0.0,0.0
23,2021-01-23,0.0,0.0,0.0,0.0,0.0
24,2021-01-24,0.0,0.0,0.0,0.0,0.0
25,2021-01-25,0.0,0.0,0.0,0.0,0.0
26,2021-01-26,0.0,0.0,0.0,0.0,0.0
27,2021-01-27,18.0,72622.0,70978.0,1644.0,1662.0
28,2021-01-28,268.0,50531.0,43958.0,6573.0,6841.0
29,2021-01-29,383.0,49704.0,42364.0,7340.0,7723.0
30,2021-01-30,6.0,70689.0,69648.0,1041.0,1047.0
0,2021-01-31,2597,85348,2578,19,82770
1,2021-02-01,598,88167,598,0,87569
2,2021-02-02,9834,54095,9428,406,44667
3,2021-02-03,4726,35428,4522,213,30915
4,2021-02-04,1572,68412,1565,7,66847
5,2021-02-05,7626,63120,7230,396,55890
6,2021-02-06,5233,72115,5117,116,66998
7,2021-02-07,5965,76260,5743,222,70517
8,2021-02-08,4558,81982,4342,216,77640
9,2021-02-09,9032,84238,8850,182,75388
10,2021-02-10,13600,81872,13288,312,68584
11,2021-02-11,7838,91715,7025,813,84690
12,2021-02-12,19125,86385,18858,267,67527
13,2021-02-13,6748,83769,6693,55,77076
14,2021-02-14,1258,81960,1258,0,80702
15,2021-02-15,8026,63742,7810,216,55932
16,2021-02-16,4395,51871,4365,30,47506
17,2021-02-17,5301,54645,5217,84,49428
18,2021-02-18,10278,56592,9834,444,46758
19,2021-02-19,1200,62935,1200,0,61735
20,2021-02-20,6788,47103,6656,132,40447
21,2021-02-21,2626,45171,2578,48,42593
22,2021-02-22,6258,52416,6173,85,46243
23,2021-02-23,14565,50354,14084,481,36270
24,2021-02-24,9352,42335,8988,364,33347
25,2021-02-25,9707,45201,9483,224,35718
26,2021-02-26,20923,54288,19837,1086,34451
27,2021-02-27,22348,49082,20358,1990,28724
0,2021-02-28,22403.0,36888.0,21499.0,904.0,15389.0
1,2021-03-01,11780.0,45430.0,11320.0,460.0,34110.0
2,2021-03-02,7289.0,45982.0,7194.0,95.0,38788.0
3,2021-03-03,2573.0,50615.0,2551.0,22.0,48064.0
4,2021-03-04,1633.0,57036.0,1630.0,3.0,55406.0
5,2021-03-05,4765.0,66295.0,4685.0,80.0,61610.0
6,2021-03-06,14593.0,66562.0,13651.0,942.0,52911.0
7,2021-03-07,14421.0,56347.0,13981.0,440.0,42366.0
8,2021-03-08,12512.0,53677.0,11992.0,520.0,41685.0
9,2021-03-09,21776.0,53218.0,20518.0,1258.0,32700.0
10,2021-03-10,1593.0,51393.0,1585.0,8.0,49808.0
11,2021-03-11,16238.0,58132.0,15052.0,1186.0,43080.0
12,2021-03-12,17337.0,57580.0,16355.0,982.0,41225.0
13,2021-03-13,12835.0,55360.0,11896.0,939.0,43464.0
14,2021-03-14,8895.0,53886.0,8791.0,104.0,45095.0
15,2021-03-15,13627.0,49911.0,13033.0,594.0,36878.0
16,2021-03-16,11028.0,42001.0,10215.0,813.0,31786.0
17,2021-03-17,8835.0,40488.0,8626.0,209.0,31862.0
18,2021-03-18,5981.0,42836.0,5916.0,65.0,36920.0
19,2021-03-19,7503.0,45741.0,7179.0,324.0,38562.0
20,2021-03-20,3765.0,40660.0,3727.0,38.0,36933.0
21,2021-03-21,13230.0,45706.0,12461.0,769.0,33245.0
22,2021-03-22,17689.0,50934.0,16321.0,1368.0,34613.0
23,2021-03-23,10980.0,35215.0,4820.0,6160.0,30395.0
24,2021-03-24,11484.0,43268.0,11022.0,462.0,32246.0
25,2021-03-25,10463.0,41863.0,9988.0,475.0,31875.0
26,2021-03-26,8350.0,44092.0,7753.0,597.0,36339.0
27,2021-03-27,18630.0,43064.0,15848.0,2782.0,27216.0
28,2021-03-28,5677.0,34593.0,5585.0,92.0,29008.0
29,2021-03-29,14281.0,41124.0,13700.0,581.0,27424.0
30,2021-03-30,23415.0,32175.0,18187.0,5228.0,13988.0
0,2021-03-31,274.0,22255.0,11018.0,11237.0,11511.0
1,2021-04-01,814.0,23960.0,12148.0,11812.0,12626.0
2,2021-04-02,1147.0,30345.0,13546.0,16799.0,17946.0
3,2021-04-03,171.0,29103.0,20108.0,8995.0,9166.0
4,2021-04-04,7368.0,36324.0,15922.0,20402.0,27770.0
5,2021-04-05,1259.0,36665.0,18750.0,17915.0,19174.0
6,2021-04-06,2293.0,42652.0,26286.0,16366.0,18659.0
7,2021-04-07,95.0,44990.0,37642.0,7348.0,7443.0
8,2021-04-08,1190.0,48169.0,36359.0,11813.0,13000.0
9,2021-04-09,2176.0,40305.0,24002.0,16303.0,18479.0
10,2021-04-10,31.0,35202.0,32702.0,2500.0,2531.0
11,2021-04-11,1771.0,53676.0,35057.0,18619.0,20390.0
12,2021-04-12,1079.0,52808.0,35041.0,17767.0,18846.0
13,2021-04-13,5473.0,38700.0,19831.0,18869.0,24342.0
14,2021-04-14,1903.0,40638.0,24737.0,15901.0,17804.0
15,2021-04-15,2058.0,38172.0,21537.0,16635.0,18693.0
16,2021-04-16,646.0,41844.0,27928.0,13916.0,14562.0
17,2021-04-17,10403.0,38034.0,19844.0,18190.0,28593.0
18,2021-04-18,6646.0,31486.0,11752.0,19734.0,26380.0
19,2021-04-19,7803.0,29754.0,10512.0,19242.0,27045.0
20,2021-04-20,3862.0,28305.0,8197.0,20108.0,23970.0
21,2021-04-21,2322.0,28568.0,11936.0,16632.0,18954.0
22,2021-04-22,8873.0,26866.0,6625.0,20241.0,29114.0
23,2021-04-23,7887.0,31509.0,10593.0,20916.0,28803.0
24,2021-04-24,10569.0,26615.0,8527.0,18088.0,28657.0
25,2021-04-25,9644.0,25432.0,7281.0,18151.0,27795.0
26,2021-04-26,5069.0,25961.0,9548.0,16413.0,21482.0
27,2021-04-27,476.0,26796.0,15821.0,10975.0,11451.0
28,2021-04-28,84.0,23961.0,21062.0,2904.0,2983.0
29,2021-04-29,1312.0,31227.0,13883.0,17344.0,18656.0
0,2021-04-30,17450,1748,15702,18936,34638
1,2021-05-01,21301,2501,18800,12173,30973
2,2021-05-02,19819,1668,18151,16490,34641
3,2021-05-03,7553,122,7431,24949,32380
4,2021-05-04,15456,1304,14152,20340,34492
5,2021-05-05,18665,2624,16041,13520,29561
6,2021-05-06,18480,1734,16746,19437,36183
7,2021-05-07,17534,2207,15327,14590,29917
8,2021-05-08,2169,8,2161,27798,29959
9,2021-05-09,11008,531,10477,19482,29959
10,2021-05-10,19385,2769,16616,13037,29653
11,2021-05-11,18368,11934,6434,13988,20422
12,2021-05-12,22241,3200,19041,12369,31410
13,2021-05-13,6149,152,5997,19372,25369
14,2021-05-14,8529,150,8379,18518,26897
15,2021-05-15,11219,326,10893,23912,34805
16,2021-05-16,19991,1453,18538,13667,32205
17,2021-05-17,14834,2981,11853,15021,26874
18,2021-05-18,19340,2307,17033,8770,25803
19,2021-05-19,18716,6295,12421,4669,17090
20,2021-05-20,10454,999,9456,16736,26191
21,2021-05-21,8627,511,8116,14109,22225
22,2021-05-22,10626,411,10215,17368,27583
23,2021-05-23,13932,920,13012,20825,33837
24,2021-05-24,16080,1440,14640,23203,37843
25,2021-05-25,15894,1902,13992,18460,32452
26,2021-05-26,19905,1690,18215,16157,34372
27,2021-05-27,23904,1480,22424,7303,29727
28,2021-05-28,7893,127,7766,21345,29111
29,2021-05-29,14852,472,14380,18394,32774
30,2021-05-30,21092,809,20283,12046,32329
0,2021-05-31,22588,34696,2088,20500,14196
1,2021-06-01,26089,25644,6196,19893,5751
2,2021-06-02,18541,26204,2425,16116,10088
3,2021-06-03,16181,26293,1222,14959,11334
4,2021-06-04,12582,24350,263,12319,12031
5,2021-06-05,27144,26264,7809,19335,6929
6,2021-06-06,13073,26142,1282,11791,14351
7,2021-06-07,17923,22873,1718,16205,6668
8,2021-06-08,25300,21173,9351,15949,5224
9,2021-06-09,23449,22248,5563,17886,4362
10,2021-06-10,14156,21321,2028,12128,9193
11,2021-06-11,15954,20306,1809,14145,6161
12,2021-06-12,22912,18745,8545,14367,4378
13,2021-06-13,26954,20684,9969,16985,3699
14,2021-06-14,22843,21066,6358,16485,4581
15,2021-06-15,24010,20446,7878,16132,4314
16,2021-06-16,23525,19235,8538,14987,4248
17,2021-06-17,10130,18804,1126,9004,9800
18,2021-06-18,3011,17463,21,2990,14473
19,2021-06-19,4883,20677,227,4656,16021
20,2021-06-20,4180,21296,62,4118,17178
21,2021-06-21,7066,25610,101,6965,18645
22,2021-06-22,16339,26860,1559,14780,12080
23,2021-06-23,23054,20152,7468,15586,4566
24,2021-06-24,9799,21703,293,9508,12197
25,2021-06-25,17269,19009,5766,11503,7506
26,2021-06-26,17294,19436,6014,11280,8156
27,2021-06-27,4752,19598,242,4525,15088
28,2021-06-28,4369,23300,224,4155,19155
29,2021-06-29,7383,25881,400,6991,18898
0,2021-06-30,13822,19797,1478,12350,7453
1,2021-07-01,16360,22229,1858,14502,7727
2,2021-07-02,15445,15807,4809,10636,5171
3,2021-07-03,11402,16801,1804,9598,7203
4,2021-07-04,17369,18821,2683,14692,4135
5,2021-07-05,20627,16159,8549,12078,4081
6,2021-07-06,17505,21124,4374,13131,7993
7,2021-07-07,13970,20763,970,13000,7763
8,2021-07-08,14308,22276,2614,11694,10582
9,2021-07-09,19752,18889,7324,12428,6461
10,2021-07-10,8574,19695,383,8204,11504
11,2021-07-11,12721,21219,547,12174,9045
12,2021-07-12,12094,23191,418,11676,11515
13,2021-07-13,10655,20481,425,10230,10251
14,2021-07-14,25185,20594,11039,14146,6448
15,2021-07-15,11689,18313,565,11124,7189
16,2021-07-16,24150,20656,9964,14186,6470
17,2021-07-17,25337,19377,12404,12935,6444
18,2021-07-18,21463,19153,8279,13188,5969
19,2021-07-19,21779,17587,8793,12991,4601
20,2021-07-20,23186,20661,8168,15032,5643
21,2021-07-21,22997,17198,10629,12372,4830
22,2021-07-22,22045,16298,10517,11549,4770
23,2021-07-23,22921,16030,11108,11819,4217
24,2021-07-24,7043,21838,298,6779,15093
25,2021-07-25,5068,20836,266,4802,16034
26,2021-07-26,17642,18113,6253,11389,6724
27,2021-07-27,12230,22802,440,11794,11012
28,2021-07-28,15082,21547,4110,10972,10575
29,2021-07-29,24337,21475,9991,14346,7129
30,2021-07-30,9400,25474,725,8682,16799
0,2021-07-31,463,25553,9333,9796,16220
1,2021-08-01,650,24467,10541,11182,13935
2,2021-08-02,1598,20923,10971,12569,9952
3,2021-08-03,4172,20442,12978,17150,7464
4,2021-08-04,10128,17478,11871,21999,5607
5,2021-08-05,686,20465,8837,9523,11628
6,2021-08-06,4600,22940,13202,17802,9738
7,2021-08-07,4093,19457,11884,15977,7573
8,2021-08-08,717,19457,10546,11263,8911
9,2021-08-09,4869,20608,12142,17011,8466
10,2021-08-10,5536,19807,11312,16848,8495
11,2021-08-11,5631,18922,11185,16816,7737
12,2021-08-12,482,19884,9997,10465,9901
13,2021-08-13,451,19698,9507,9958,10191
14,2021-08-14,529,17765,10160,10677,7617
15,2021-08-15,3015,18440,9954,12968,8487
16,2021-08-16,2691,20494,12228,14919,8266
17,2021-08-17,289,21685,4704,4993,16981
18,2021-08-18,5259,20764,10501,15746,10277
19,2021-08-19,3200,19118,11066,14266,8052
20,2021-08-20,368,17394,7361,7729,10033
21,2021-08-21,279,20355,4100,4369,16265
22,2021-08-22,4901,19835,13220,18113,6623
23,2021-08-23,2723,20009,9624,12347,10385
24,2021-08-24,11477,21080,12725,24192,8365
25,2021-08-25,724,22295,12589,13313,9706
26,2021-08-26,11961,17741,10926,22887,6815
27,2021-08-27,387,21323,7778,8161,13549
28,2021-08-28,4556,19656,10016,14572,9640
29,2021-08-29,838,21766,7466,8301,14303
30,2021-08-30,245,22223,3972,4217,18251
